Cluster,Top 10 Words (TF-IDF),Scores
1,"isolette, ksu, sensor, single, thermostat","2.3687627434204352, 0.8957062371154048, 0.8957062371154048, 0.8957062371154048, 0.539023509507965"
2,"qa, aps, apscommunication, architecture, communication, top, connectioninheritance, aaspe, cwe, security","1.731999608140545, 1.5952646799860888, 1.5952646799860888, 1.5952646799860888, 1.5952646799860888, 1.5469450113098535, 1.1656162164824995, 0.8327861926803916, 0.8327861926803916, 0.8327861926803916"
3,"isolette, aps, aviate, control, level, interface, ksu, operator, architecture, communication","1.5118578920369088, 1.3586126297981655, 1.0690449676496976, 1.0690449676496976, 1.0690449676496976, 0.7559289460184544, 0.7559289460184544, 0.7559289460184544, 0.6793063148990828, 0.6793063148990828"
4,"smartparking, aps, architecture, communication, speedwrisic, isolette, qa, vtv, backup, ksu","5.17069863380968, 3.6262767171012293, 2.320003753809199, 2.320003753809199, 1.901091393327175, 1.787595456109906, 1.3674466849379403, 1.3331643532907604, 1.2215286044732054, 1.0892420401024745"
5,"block, tcas, aviationrequirementmodeling, cruisecontrol, aviation, supervised, ocarina, designer, link, management","2.0233048675202934, 1.8514693749619626, 1.7568313805516151, 1.601155504140587, 1.2245471596886812, 1.2245471596886812, 1.0, 0.9004960837377614, 0.8963029411239289, 0.8963029411239289"
6,"dronecontrol, environment, hybridsynchaadl, drone, master, rendezvous, thesis, dronesystem, fourdronessystem, refdrone","4.503814820249775, 4.503814820249775, 3.6870099159460192, 3.5855304909630905, 3.2114501997720812, 3.2114501997720812, 3.2114501997720812, 2.660739361214052, 0.9879786156436884, 0.8857943674948814"
7,"ctrl, temperature, adventium, csci, gumbo, lab, plugin, agree, aviationrequirementmodeling, bus","3.189279844520495, 2.7430389774302113, 2.0583688411769065, 2.0583688411769065, 2.0583688411769065, 2.0583688411769065, 2.0583688411769065, 1.8209965995957302, 1.8209965995957302, 1.5"
8,"aaspe, security, incorrect, r5, cwe, correct, requirement, timing, model, peterexample","4.8935241527339945, 4.8935241527339945, 3.8688493186412583, 3.825769037430277, 3.4832865219685107, 1.944639135168186, 1.7753210309104284, 1.7753210309104284, 0.7071067811865476, 0.7071067811865476"
9,"home, smart, air, ex, arch, client, ocarina, maincontrolrouter, remoteserver, model","4.1322410718068845, 3.867426435729559, 3.8618198077331725, 3.8618198077331725, 2.599203065144822, 2.160370453212529, 1.9047738891081827, 1.7442908947681293, 1.7442908947681293, 1.7043379167064026"
10,"aaspe, security, r1, qa, correct, test, incorrect, cwe, impl, implementation","1.8116699831236343, 1.8116699831236343, 1.6094830051607125, 1.496600990617511, 1.1176484700297311, 0.810305853129952, 0.6555265188957107, 0.6316360752312096, 0.6295652196782174, 0.6295652196782174"
